Pin #,Timestamp,Type,AQI,Min AQI,Max AQI,PM1 (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),CO (ppb),Location,Latitude,Longitude
42,2026-04-24 13:51:14,>=+10),135,135,135,50,71,77,170,"Bommanahalli, Bengaluru",12.904468,77.627418
43,2026-04-24 13:51:17,>=+10),152,152,152,53,76,79,170,"Bommanahalli, Bengaluru",12.904664,77.627455
44,2026-04-24 13:51:21,<=-10),141,141,141,52,73,78,170,"Bommanahalli, Bengaluru",12.904849,77.627498
45,2026-04-24 13:51:24,<=-10),131,131,131,50,70,76,170,"Bommanahalli, Bengaluru",12.905140,77.627558
46,2026-04-24 13:51:27,<=-10),114,114,114,46,65,72,170,"Bommanahalli, Bengaluru",12.905330,77.627588
47,2026-04-24 13:51:30,<=-10),101,101,101,44,61,71,170,"Bommanahalli, Bengaluru",12.905539,77.627630
48,2026-04-24 13:51:34,<=-10),91,91,91,39,55,66,170,"Bommanahalli, Bengaluru",12.905744,77.627671
49,2026-04-24 13:51:45,<=-10),81,81,81,33,49,61,170,"Bommanahalli, Bengaluru",12.906010,77.627735
50,2026-04-24 13:52:56,3min),79,79,84,32,48,60,180,"Bommanahalli, Bengaluru",12.909836,77.626863
51,2026-04-24 13:53:56,3min),72,72,78,30,44,54,170,"Bommanahalli, Bengaluru",12.912215,77.625434
52,2026-04-24 13:54:56,>=+10),84,76,84,35,51,63,170,"Bommanahalli, Bengaluru",12.916087,77.623250
53,2026-04-24 13:55:32,>=+10),94,86,94,40,57,69,170,"BTM Layout Stage 1, Bengaluru",12.917215,77.622798
54,2026-04-24 13:56:08,<=-10),83,83,88,34,50,61,170,"BTM Layout Stage 1, Bengaluru",12.917305,77.622884
55,2026-04-24 13:57:08,3min),81,78,83,33,49,61,170,"BTM Layout Stage 1, Bengaluru",12.917060,77.628041
56,2026-04-24 13:58:21,3min),81,79,84,34,49,62,180,"BTM Layout Stage 1, Bengaluru",12.916687,77.631851
57,2026-04-24 13:58:41,>=+10),93,83,93,38,56,69,180,"BTM Layout Stage 1, Bengaluru",12.916549,77.633564
58,2026-04-24 13:59:29,>=+10),104,91,104,43,62,72,180,"BTM Layout Stage 1, Bengaluru",12.916138,77.637612
59,2026-04-24 13:59:39,<=-10),94,94,94,39,57,69,180,"BTM Layout Stage 1, Bengaluru",12.916226,77.638811
60,2026-04-24 13:59:48,<=-10),84,84,84,34,51,65,180,"BTM Layout Stage 1, Bengaluru",12.916617,77.639783
61,2026-04-24 14:00:50,>=+10),114,81,114,49,65,74,170,"HSR Layout, Bengaluru",12.919743,77.643114
62,2026-04-24 14:00:53,>=+10),165,165,165,62,80,85,170,"HSR Layout, Bengaluru",12.919676,77.643100
63,2026-04-24 14:00:56,>=+10),207,207,207,73,93,99,170,"HSR Layout, Bengaluru",12.919572,77.643016
64,2026-04-24 14:00:59,>=+10),235,235,235,80,101,106,170,"HSR Layout, Bengaluru",12.919436,77.642920
65,2026-04-24 14:01:02,<=-10),218,218,218,77,96,101,170,"HSR Layout, Bengaluru",12.919291,77.642820
66,2026-04-24 14:01:08,<=-10),200,200,200,71,90,96,170,"HSR Layout, Bengaluru",12.919123,77.642704
67,2026-04-24 14:01:13,<=-10),189,189,189,66,87,91,170,"HSR Layout, Bengaluru",12.918741,77.642433
68,2026-04-24 14:01:16,<=-10),179,179,179,64,84,89,170,"HSR Layout, Bengaluru",12.918447,77.642195
69,2026-04-24 14:01:19,<=-10),165,165,165,61,80,84,170,"HSR Layout, Bengaluru",12.918262,77.642035
70,2026-04-24 14:01:22,<=-10),155,155,155,57,77,81,170,"HSR Layout, Bengaluru",12.918134,77.641911
71,2026-04-24 14:01:25,<=-10),128,128,128,51,69,76,170,"HSR Layout, Bengaluru",12.918024,77.641815
72,2026-04-24 14:01:28,<=-10),111,111,111,48,64,74,170,"HSR Layout, Bengaluru",12.917880,77.641658
73,2026-04-24 14:01:31,<=-10),98,98,98,43,59,70,170,"HSR Layout, Bengaluru",12.917713,77.641483
74,2026-04-24 14:01:37,<=-10),86,86,86,37,52,65,170,"HSR Layout, Bengaluru",12.917544,77.641338
75,2026-04-24 14:02:01,<=-10),76,76,81,31,46,57,170,"HSR Layout, Bengaluru",12.917319,77.641783
76,2026-04-24 14:03:02,3min),71,71,76,28,43,52,180,"HSR Layout, Bengaluru",12.917239,77.643490
77,2026-04-24 14:04:13,3min),72,71,72,28,44,54,180,"HSR Layout, Bengaluru",12.917221,77.643531
78,2026-04-24 14:05:13,3min),66,64,72,27,40,47,180,"HSR Layout, Bengaluru",12.917235,77.643560
