Pin #,Timestamp,Type,AQI,Min AQI,Max AQI,PM1 (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),CO (ppb),Location,Latitude,Longitude
1,2026-04-24 13:40:55,PIN,76,,,30,46,57,160,"Arakere, Bengaluru",12.886723,77.606288
2,2026-04-24 13:41:13,>=+10),88,83,88,34,53,68,160,"Arakere, Bengaluru",12.886651,77.606585
3,2026-04-24 13:42:13,3min),81,81,88,32,49,61,160,"Arakere, Bengaluru",12.886780,77.608965
4,2026-04-24 13:43:25,3min),81,78,81,33,49,62,160,"Arakere, Bengaluru",12.890390,77.610918
5,2026-04-24 13:43:29,>=+10),91,91,91,36,55,70,160,"Arakere, Bengaluru",12.890590,77.611000
6,2026-04-24 13:43:32,>=+10),101,101,101,39,61,74,160,"Arakere, Bengaluru",12.891776,77.611469
7,2026-04-24 13:43:35,>=+10),118,118,118,42,66,76,160,"Arakere, Bengaluru",12.891831,77.611487
8,2026-04-24 13:43:40,<=-10),107,107,107,39,63,74,160,"Arakere, Bengaluru",12.892371,77.611334
9,2026-04-24 13:43:46,<=-10),96,96,96,36,58,71,160,"Arakere, Bengaluru",12.892379,77.611328
10,2026-04-24 13:43:54,<=-10),86,86,86,34,52,66,160,"Arakere, Bengaluru",12.892763,77.611667
11,2026-04-24 13:44:12,>=+10),100,88,100,41,60,71,160,"Arakere, Bengaluru",12.892880,77.612427
12,2026-04-24 13:44:17,>=+10),111,111,111,44,64,74,160,"Arakere, Bengaluru",12.893017,77.612998
13,2026-04-24 13:44:24,<=-10),101,101,101,43,61,72,160,"Arakere, Bengaluru",12.892658,77.613372
14,2026-04-24 13:44:34,<=-10),91,91,91,37,55,67,160,"Arakere, Bengaluru",12.892648,77.613392
15,2026-04-24 13:45:10,>=+10),111,86,111,47,64,73,160,"Kodichikkanahalli, Bengaluru",12.893106,77.615256
16,2026-04-24 13:45:13,>=+10),121,121,121,48,67,74,160,"Kodichikkanahalli, Bengaluru",12.893010,77.615752
17,2026-04-24 13:45:15,>=+10),131,131,131,50,70,76,160,"Kodichikkanahalli, Bengaluru",12.893010,77.615752
18,2026-04-24 13:45:19,<=-10),121,121,121,48,67,74,160,"Kodichikkanahalli, Bengaluru",12.893062,77.616039
19,2026-04-24 13:45:24,<=-10),111,111,111,46,64,73,160,"Kodichikkanahalli, Bengaluru",12.893248,77.616083
20,2026-04-24 13:45:28,<=-10),101,101,101,43,61,71,160,"Kodichikkanahalli, Bengaluru",12.893233,77.616235
21,2026-04-24 13:45:39,>=+10),118,118,118,47,66,74,160,"Kodichikkanahalli, Bengaluru",12.893164,77.616603
22,2026-04-24 13:45:42,>=+10),131,131,131,49,70,76,160,"Kodichikkanahalli, Bengaluru",12.893075,77.617575
23,2026-04-24 13:45:45,>=+10),148,148,148,54,75,79,160,"Kodichikkanahalli, Bengaluru",12.893050,77.617820
24,2026-04-24 13:45:52,<=-10),138,138,138,51,72,77,160,"Kodichikkanahalli, Bengaluru",12.893029,77.617970
25,2026-04-24 13:45:55,>=+10),148,148,148,54,75,79,160,"Kodichikkanahalli, Bengaluru",12.892969,77.618419
26,2026-04-24 13:45:58,>=+10),162,162,162,56,79,81,160,"Kodichikkanahalli, Bengaluru",12.892934,77.618629
27,2026-04-24 13:46:01,>=+10),176,176,176,60,83,85,160,"Kodichikkanahalli, Bengaluru",12.892866,77.618898
28,2026-04-24 13:46:04,>=+10),189,189,189,64,87,90,160,"Kodichikkanahalli, Bengaluru",12.892863,77.619121
29,2026-04-24 13:46:10,<=-10),179,179,179,62,84,88,160,"Kodichikkanahalli, Bengaluru",12.892849,77.619303
30,2026-04-24 13:46:32,<=-10),155,155,172,56,77,81,160,"Kodichikkanahalli, Bengaluru",12.893078,77.619997
31,2026-04-24 13:46:35,<=-10),141,141,141,53,73,78,160,"Kodichikkanahalli, Bengaluru",12.893725,77.619997
32,2026-04-24 13:46:40,<=-10),131,131,131,50,70,77,160,"Kodichikkanahalli, Bengaluru",12.893921,77.620020
33,2026-04-24 13:46:48,<=-10),121,121,121,47,67,75,160,"Kodichikkanahalli, Bengaluru",12.894227,77.620081
34,2026-04-24 13:46:53,<=-10),111,111,111,45,64,73,160,"Kodichikkanahalli, Bengaluru",12.894575,77.620171
35,2026-04-24 13:46:56,<=-10),100,100,100,43,60,71,160,"Kodichikkanahalli, Bengaluru",12.894842,77.620257
36,2026-04-24 13:47:32,<=-10),89,89,101,37,54,66,160,"Kodichikkanahalli, Bengaluru",12.896288,77.620822
37,2026-04-24 13:48:32,<=-10),78,78,86,31,47,57,160,"Kodichikkanahalli, Bengaluru",12.898693,77.621776
38,2026-04-24 13:49:41,>=+10),88,76,88,35,53,66,160,"Kodichikkanahalli, Bengaluru",12.902142,77.623793
39,2026-04-24 13:50:53,<=-10),78,78,91,31,47,58,170,"Bommanahalli, Bengaluru",12.903667,77.626432
40,2026-04-24 13:51:08,>=+10),93,81,93,39,56,68,170,"Bommanahalli, Bengaluru",12.904086,77.627318
41,2026-04-24 13:51:11,>=+10),111,111,111,44,64,73,170,"Bommanahalli, Bengaluru",12.904290,77.627376
